league_game_id,season,league_name,division_name,week_label,game_date,game_time,location_or_field,home_team,away_team,status,completed_flag,home_runs,away_runs,result_summary,notes,source
spring-2026-week-1-g1,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 1,2026-04-22,6:30 PM,Boncosky Blue,Maple Tree,Soft Ballz,completed,1,7,17,"Soft Ballz 17, Maple Tree 7",Week 1 Game 1 corrected from uploaded Maple Tree box score,league_schedule_games.csv
spring-2026-week-1-g2,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 1,2026-04-22,6:30 PM,Boncosky Red,Wasted Talent,No Dice,completed,1,1,23,"No Dice 23, Wasted Talent 1",Week 1 Game 1,league_schedule_games.csv
spring-2026-week-1-g3,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 1,2026-04-22,7:30 PM,Boncosky Blue,Soft Ballz,Maple Tree,completed,1,18,17,"Soft Ballz 18, Maple Tree 17",Week 1 Game 2,league_schedule_games.csv
spring-2026-week-1-g4,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 1,2026-04-22,7:30 PM,Boncosky Red,No Dice,Wasted Talent,completed,1,20,5,"No Dice 20, Wasted Talent 5",Week 1 Game 2,league_schedule_games.csv
spring-2026-week-1-g5,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 1,2026-04-22,8:30 PM,Boncosky Red,Wasted Potential,Bullseyes,completed,1,6,18,"Bullseyes 18, Wasted Potential 6",Week 1 Game 1,league_schedule_games.csv
spring-2026-week-1-g6,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 1,2026-04-22,9:30 PM,Boncosky Red,Bullseyes,Wasted Potential,completed,1,22,12,"Bullseyes 22, Wasted Potential 12",Week 1 Game 2,league_schedule_games.csv
spring-2026-week-2-g1,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 2,2026-04-29,6:30 PM,Boncosky Blue,Bullseyes,Maple Tree,completed,1,15,5,"Bullseyes 15, Maple Tree 5",Week 2 results from user-provided official score list; corrected from original manual box score import,league_schedule_games.csv
spring-2026-week-2-g2,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 2,2026-04-29,7:30 PM,Boncosky Blue,Bullseyes,Maple Tree,completed,1,24,25,"Maple Tree 25, Bullseyes 24",Week 2 results from official league image,league_schedule_games.csv
spring-2026-week-2-g3,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 2,2026-04-29,8:30 PM,Boncosky Blue,Wasted Talent,Wasted Potential,completed,1,21,7,"Wasted Talent 21, Wasted Potential 7",Week 2 results from official league image,league_schedule_games.csv
spring-2026-week-2-g4,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 2,2026-04-29,8:30 PM,Boncosky Yellow,No Dice,cacheouts,completed,1,15,16,"cacheouts 16, No Dice 15",Week 2 results from user-provided official score list,league_schedule_games.csv
spring-2026-week-2-g5,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 2,2026-04-29,9:30 PM,Boncosky Blue,Wasted Talent,Wasted Potential,completed,1,27,22,"Wasted Talent 27, Wasted Potential 22",Week 2 results from user-provided official score list,league_schedule_games.csv
spring-2026-week-2-g6,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 2,2026-04-29,9:30 PM,Boncosky Yellow,cacheouts,No Dice,completed,1,7,19,"No Dice 19, cacheouts 7",Week 2 results from user-provided official score list,league_schedule_games.csv
spring-2026-week-3-g1,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 3,2026-05-06,6:30 PM,Boncosky Green,Wasted Talent,cacheouts,completed,1,19,9,"Wasted Talent 19, cacheouts 9",Week 3 results from user-provided official score list,league_schedule_games.csv
spring-2026-week-3-g2,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 3,2026-05-06,6:30 PM,Boncosky Yellow,Wasted Potential,Soft Ballz,completed,1,13,29,"Soft Ballz 29, Wasted Potential 13",Week 3 results from user-provided official score list,league_schedule_games.csv
spring-2026-week-3-g3,Maple Tree Spring 2026,Wednesday Men's,Blue Division,Week 3,2026-05-06,7:30 PM,Boncosky Green,cacheouts,Wasted Talent,completed,1,26,24,"cacheouts 26, Wasted Talent 24",Week 3 results from user-provided official score list,league_schedule_games.csv
